waktu,Tinggi_Tanaman (cm),Deteksi_Hama,Prediksi_Penyakit,status
2024-11-01 00:00:00,10,True,Patek,Realtime
2024-11-01 00:30:00,10,False,Normal,Realtime
2024-11-01 01:00:00,10,True,Antraknosa,Realtime
2024-11-01 01:30:00,10,True,Yellowish,Realtime
2024-11-01 02:00:00,10,False,Normal,Realtime
2024-11-01 02:30:00,10,False,Normal,Realtime
2024-11-01 03:00:00,10,False,Normal,Realtime
2024-11-01 03:30:00,10,True,Patek,Realtime
2024-11-01 04:00:00,10,False,Normal,Realtime
2024-11-01 04:30:00,10,False,Normal,Realtime
2024-11-01 05:00:00,10,False,Normal,Realtime
2024-11-01 05:30:00,10,False,Normal,Realtime
2024-11-01 06:00:00,10,False,Normal,Realtime
2024-11-01 06:30:00,10,False,Normal,Realtime
2024-11-01 07:00:00,10,False,Normal,Realtime
2024-11-01 07:30:00,10,False,Normal,Realtime
2024-11-01 08:00:00,10,False,Normal,Realtime
2024-11-01 08:30:00,10,False,Normal,Realtime
2024-11-01 09:00:00,10,False,Normal,Realtime
2024-11-01 09:30:00,10,False,Normal,Realtime
2024-11-01 10:00:00,10,False,Normal,Realtime
2024-11-01 10:30:00,10,False,Normal,Realtime
2024-11-01 11:00:00,10,True,Antraknosa,Realtime
2024-11-01 11:30:00,10,False,Normal,Realtime
2024-11-01 12:00:00,10,False,Normal,Realtime
2024-11-01 12:30:00,10,False,Normal,Realtime
2024-11-01 13:00:00,10,False,Normal,Realtime
2024-11-01 13:30:00,10,False,Normal,Realtime
2024-11-01 14:00:00,10,False,Normal,Realtime
2024-11-01 14:30:00,10,True,Ulab Batang,Realtime
2024-11-01 15:00:00,10,False,Normal,Realtime
2024-11-01 15:30:00,10,True,Ulab Batang,Realtime
2024-11-01 16:00:00,10,False,Normal,Realtime
2024-11-01 16:30:00,10,False,Normal,Realtime
2024-11-01 17:00:00,10,False,Normal,Realtime
2024-11-01 17:30:00,10,False,Normal,Realtime
2024-11-01 18:00:00,10,False,Normal,Realtime
2024-11-01 18:30:00,10,False,Normal,Realtime
2024-11-01 19:00:00,10,False,Normal,Realtime
2024-11-01 19:30:00,10,False,Normal,Realtime
2024-11-01 20:00:00,10,False,Normal,Realtime
2024-11-01 20:30:00,10,False,Normal,Realtime
2024-11-01 21:00:00,10,True,Normal,Realtime
2024-11-01 21:30:00,10,False,Normal,Realtime
2024-11-01 22:00:00,10,False,Normal,Realtime
2024-11-01 22:30:00,10,False,Normal,Realtime
2024-11-01 23:00:00,10,False,Normal,Realtime
2024-11-01 23:30:00,10,False,Normal,Realtime
2024-11-02 00:00:00,13,False,Normal,Realtime
2024-11-02 00:30:00,13,False,Normal,Realtime
2024-11-02 01:00:00,13,True,Patek,Realtime
2024-11-02 01:30:00,13,False,Normal,Realtime
2024-11-02 02:00:00,13,True,Normal,Realtime
2024-11-02 02:30:00,13,False,Normal,Realtime
2024-11-02 03:00:00,13,False,Normal,Realtime
2024-11-02 03:30:00,13,False,Normal,Realtime
2024-11-02 04:00:00,13,False,Normal,Realtime
